Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Month,Hour,Season,Power_Deviation (kW),Deviation_Pct (%),Wind_Bin
2018-01-01 00:00:00,2769.78050773591,12.404408516887198,2964.469005426023,189.95924030869324,1,0,Winter,-194.6884976901133,-6.567398658368995,Transition
2018-01-01 00:10:00,2342.792550796655,12.227679173611198,2791.438120272145,106.03138088608625,1,0,Winter,-448.64556947549,-16.072201859583053,Transition
2018-01-01 00:20:00,2895.6128560886073,12.354137120493373,2914.5426517849533,33.33017903660575,1,0,Winter,-18.92979569634599,-0.649494550534466,Transition
2018-01-01 00:30:00,1.4926285433776236,4.231646789430957,1.6445084087668242,275.28970847988785,1,0,Winter,-0.15187986538920062,-9.23557852179616,Partial Load
2018-01-01 00:40:00,0.0,2.352019043438239,0.0,162.628037902954,1,0,Winter,0.0,,Below Cut-In
2018-01-01 00:50:00,1174.9791366411148,9.642109364925998,972.9361054317723,339.4443364589865,1,0,Winter,202.04303120934253,20.766320633118998,Transition
2018-01-01 01:00:00,945.9742776064528,9.499341263081599,906.6556771588174,186.97469895674374,1,1,Winter,39.31860044763539,4.336662907229336,Transition
2018-01-01 01:10:00,3763.1868422537937,14.140542465519767,3600.0,102.10077285327283,1,1,Winter,163.18684225379366,4.532967840383157,Full Load
2018-01-01 01:20:00,0.0,2.252738027322436,0.0,148.6884666945365,1,1,Winter,0.0,,Below Cut-In
2018-01-01 01:30:00,390.31063085145064,8.184124521215603,431.5359486294942,278.3731737595691,1,1,Winter,-41.225317778043575,-9.553159570823746,Transition
2018-01-01 01:40:00,0.0,2.1231871408473926,0.0,90.33527275930214,1,1,Winter,0.0,,Below Cut-In
2018-01-01 01:50:00,464.980387104311,8.348503590077291,478.580335108293,159.7313521526118,1,1,Winter,-13.599948003982036,-2.841727293476161,Transition
2018-01-01 02:00:00,1232.3361622099958,10.526393047220102,1456.5620985006765,242.27096150514106,1,2,Winter,-224.2259362906807,-15.394189957399648,Transition
